mobiledata,bluetooth,autorotate,batterysaver,accelerometer,magneticfield,proximity,,
location,mobiledata,donotdisturb,camera,gyroscope,orientation,,,
location,autorotate,batterysaver,donotdisturb,camera,accelerometer,orientation,,
location,wifi,mobiledata,bluetooth,autorotate,camera,accelerometer,light,magneticfield
location,wifi,mobiledata,donotdisturb,camera,accelerometer,magneticfield,,
bluetooth,autorotate,accelerometer,magneticfield,orientation,,,,
location,wifi,autorotate,donotdisturb,camera,orientation,,,
wifi,mobiledata,batterysaver,gyroscope,orientation,proximity,,,
location,mobiledata,autorotate,camera,light,magneticfield,,,
bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity,
autorotate,accelerometer,gyroscope,,,,,,
bluetooth,camera,accelerometer,orientation,proximity,,,,
location,bluetooth,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,gyroscope,
wifi,bluetooth,accelerometer,gyroscope,light,,,,
bluetooth,batterysaver,magneticfield,,,,,,
location,wifi,autorotate,camera,magneticfield,orientation,,,
location,batterysaver,donotdisturb,camera,accelerometer,proximity,,,
wifi,mobiledata,bluetooth,camera,accelerometer,proximity,,,
location,wifi,mobiledata,bluetooth,gyroscope,orientation,proximity,,
mobiledata,bluetooth,autorotate,donotdisturb,camera,gyroscope,light,magneticfield,proximity
location,wifi,batterysaver,donotdisturb,camera,gyroscope,magneticfield,orientation,
wifi,bluetooth,camera,accelerometer,gyroscope,magneticfield,orientation,,
location,wifi,bluetooth,camera,gyroscope,light,,,
batterysaver,donotdisturb,camera,accelerometer,light,magneticfield,proximity,,
wifi,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,proximity,
location,bluetooth,batterysaver,camera,orientation,proximity,,,
wifi,mobiledata,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,proximity,
location,bluetooth,donotdisturb,accelerometer,gyroscope,magneticfield,proximity,,
wifi,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,orientation,
