wifi,mobiledata,bluetooth,autorotate,batterysaver,camera,light,magneticfield,proximity,
location,bluetooth,accelerometer,gyroscope,,,,,,
location,mobiledata,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity
location,bluetooth,light,,,,,,,
location,mobiledata,autorotate,donotdisturb,camera,,,,,
location,wifi,mobiledata,autorotate,camera,accelerometer,gyroscope,light,orientation,
location,wifi,bluetooth,batterysaver,camera,,,,,
mobiledata,autorotate,donotdisturb,camera,gyroscope,light,magneticfield,orientation,proximity,
mobiledata,autorotate,donotdisturb,gyroscope,light,magneticfield,orientation,,,
wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,magneticfield,proximity,,
mobiledata,bluetooth,batterysaver,donotdisturb,light,magneticfield,,,,
wifi,bluetooth,autorotate,camera,light,,,,,
wifi,mobiledata,donotdisturb,camera,gyroscope,,,,,
light,magneticfield,orientation,,,,,,,
location,wifi,bluetooth,autorotate,batterysaver,donotdisturb,light,magneticfield,orientation,
mobiledata,autorotate,light,magneticfield,orientation,proximity,,,,
location,mobiledata,autorotate,donotdisturb,accelerometer,magneticfield,orientation,proximity,,
location,autorotate,batterysaver,accelerometer,proximity,,,,,
location,bluetooth,batterysaver,donotdisturb,camera,light,magneticfield,orientation,proximity,
wifi,bluetooth,autorotate,camera,gyroscope,magneticfield,orientation,,,
location,bluetooth,batterysaver,donotdisturb,camera,accelerometer,light,orientation,,
mobiledata,autorotate,batterysaver,donotdisturb,magneticfield,orientation,proximity,,,
wifi,bluetooth,autorotate,camera,light,proximity,,,,
mobiledata,bluetooth,,,,,,,,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,magneticfield,orientation,proximity,
wifi,camera,accelerometer,light,magneticfield,proximity,,,,
location,wifi,bluetooth,batterysaver,donotdisturb,accelerometer,gyroscope,light,,
wifi,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,proximity,,
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light
bluetooth,donotdisturb,camera,magneticfield,orientation,proximity,,,,
