location,mobiledata,bluetooth,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity,
location,wifi,mobiledata,batterysaver,camera,accelerometer,light,orientation,proximity,,
location,accelerometer,gyroscope,light,orientation,proximity,,,,,
mobiledata,bluetooth,light,magneticfield,,,,,,,
wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,gyroscope,magneticfield,,,
location,mobiledata,bluetooth,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,
location,wifi,mobiledata,bluetooth,batterysaver,accelerometer,magneticfield,proximity,,,
location,mobiledata,bluetooth,batterysaver,accelerometer,gyroscope,,,,,
location,camera,gyroscope,proximity,,,,,,,
location,mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity
location,mobiledata,bluetooth,donotdisturb,camera,accelerometer,orientation,proximity,,,
autorotate,donotdisturb,camera,accelerometer,gyroscope,magneticfield,orientation,proximity,,,
autorotate,batterysaver,accelerometer,gyroscope,magneticfield,proximity,,,,,
location,wifi,bluetooth,batterysaver,donotdisturb,accelerometer,light,orientation,,,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,orientation,
location,wifi,autorotate,gyroscope,proximity,,,,,,
location,wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,
wifi,mobiledata,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,,,,
mobiledata,autorotate,batterysaver,donotdisturb,orientation,proximity,,,,,
location,wifi,mobiledata,autorotate,camera,light,magneticfield,orientation,,,
location,wifi,mobiledata,autorotate,batterysaver,accelerometer,gyroscope,proximity,,,
location,mobiledata,autorotate,batterysaver,accelerometer,gyroscope,orientation,,,,
autorotate,donotdisturb,orientation,,,,,,,,
location,wifi,bluetooth,donotdisturb,camera,gyroscope,,,,,
location,wifi,mobiledata,bluetooth,autorotate,camera,magneticfield,orientation,,,
location,wifi,mobiledata,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,light,proximity
location,bluetooth,autorotate,batterysaver,magneticfield,proximity,,,,,
mobiledata,donotdisturb,camera,gyroscope,orientation,,,,,,
bluetooth,donotdisturb,gyroscope,light,magneticfield,proximity,,,,,
