wifi,mobiledata,bluetooth,donotdisturb,camera,proximity,,,,
location,mobiledata,autorotate,donotdisturb,accelerometer,light,magneticfield,orientation,proximity,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,orientation,proximity
location,mobiledata,bluetooth,batterysaver,camera,gyroscope,orientation,proximity,,
batterysaver,accelerometer,gyroscope,orientation,proximity,,,,,
wifi,bluetooth,autorotate,accelerometer,light,orientation,proximity,,,
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,gyroscope,light,orientation
wifi,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,,,,
location,bluetooth,batterysaver,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,proximity,
location,wifi,autorotate,camera,accelerometer,light,,,,
location,bluetooth,autorotate,camera,gyroscope,light,proximity,,,
wifi,bluetooth,camera,accelerometer,gyroscope,light,magneticfield,orientation,,
location,autorotate,camera,accelerometer,magneticfield,orientation,,,,
mobiledata,accelerometer,light,proximity,,,,,,
location,wifi,mobiledata,bluetooth,donotdisturb,camera,light,proximity,,
autorotate,batterysaver,gyroscope,light,magneticfield,,,,,
mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,proximity,
wifi,batterysaver,donotdisturb,gyroscope,light,orientation,,,,
location,wifi,autorotate,batterysaver,accelerometer,proximity,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,light,magneticfield,
location,wifi,mobiledata,bluetooth,accelerometer,light,magneticfield,,,
location,autorotate,camera,accelerometer,gyroscope,proximity,,,,
location,mobiledata,donotdisturb,camera,accelerometer,light,orientation,proximity,,
wifi,bluetooth,autorotate,gyroscope,light,orientation,,,,
wifi,camera,light,magneticfield,orientation,,,,,
location,autorotate,camera,light,magneticfield,,,,,
location,wifi,mobiledata,gyroscope,magneticfield,orientation,,,,
autorotate,donotdisturb,camera,gyroscope,,,,,,
location,wifi,donotdisturb,,,,,,,
location,wifi,mobiledata,bluetooth,camera,light,orientation,,,
