wifi,bluetooth,batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,,
mobiledata,bluetooth,batterysaver,donotdisturb,gyroscope,magneticfield,orientation,proximity,,,
location,wifi,mobiledata,batterysaver,donotdisturb,camera,accelerometer,light,proximity,,
location,mobiledata,donotdisturb,orientation,,,,,,,
location,autorotate,batterysaver,donotdisturb,camera,magneticfield,orientation,,,,
location,autorotate,camera,gyroscope,light,orientation,,,,,
location,wifi,mobiledata,autorotate,batterysaver,camera,accelerometer,light,magneticfield,orientation,proximity
location,mobiledata,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,light,proximity,,
location,mobiledata,bluetooth,autorotate,gyroscope,light,proximity,,,,
location,autorotate,batterysaver,gyroscope,light,magneticfield,orientation,proximity,,,
wifi,mobiledata,donotdisturb,accelerometer,light,magneticfield,proximity,,,,
autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,orientation,,,,,
wifi,bluetooth,gyroscope,orientation,proximity,,,,,,
location,wifi,mobiledata,bluetooth,autorotate,camera,gyroscope,magneticfield,proximity,,
location,donotdisturb,accelerometer,light,orientation,,,,,,
location,wifi,batterysaver,donotdisturb,accelerometer,light,,,,,
location,wifi,bluetooth,gyroscope,light,magneticfield,orientation,,,,
location,mobiledata,bluetooth,donotdisturb,accelerometer,gyroscope,light,orientation,proximity,,
bluetooth,batterysaver,camera,gyroscope,light,magneticfield,proximity,,,,
location,light,magneticfield,orientation,proximity,,,,,,
mobiledata,autorotate,batterysaver,accelerometer,proximity,,,,,,
wifi,mobiledata,autorotate,light,orientation,,,,,,
location,wifi,mobiledata,bluetooth,batterysaver,accelerometer,proximity,,,,
wifi,autorotate,batterysaver,,,,,,,,
location,batterysaver,donotdisturb,accelerometer,light,orientation,proximity,,,,
location,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,light,magneticfield,,
location,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity,,
location,mobiledata,bluetooth,donotdisturb,gyroscope,light,orientation,proximity,,,
location,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,orientation,,,,
wifi,mobiledata,donotdisturb,camera,light,orientation,proximity,,,,
