wifi,bluetooth,autorotate,batterysaver,donotdisturb,magneticfield,orientation,,,,
location,wifi,autorotate,batterysaver,light,orientation,,,,,
mobiledata,bluetooth,accelerometer,gyroscope,magneticfield,orientation,proximity,,,,
mobiledata,donotdisturb,camera,light,orientation,,,,,,
wifi,bluetooth,gyroscope,light,magneticfield,proximity,,,,,
location,wifi,autorotate,camera,accelerometer,gyroscope,light,magneticfield,,,
location,wifi,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,magneticfield,orientation,proximity,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,accelerometer,gyroscope,magneticfield,,,
location,wifi,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,
accelerometer,orientation,,,,,,,,,
location,wifi,mobiledata,batterysaver,camera,accelerometer,light,orientation,proximity,,
wifi,batterysaver,donotdisturb,gyroscope,magneticfield,proximity,,,,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity
wifi,mobiledata,bluetooth,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,gyroscope,light,,,,,,,,
wifi,autorotate,batterysaver,accelerometer,light,proximity,,,,,
autorotate,donotdisturb,camera,light,orientation,,,,,,
wifi,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,light,orientation,proximity,,
mobiledata,bluetooth,batterysaver,camera,accelerometer,light,magneticfield,orientation,proximity,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,light,magneticfield,orientation,
location,donotdisturb,camera,gyroscope,proximity,,,,,,
mobiledata,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity,,,
wifi,bluetooth,batterysaver,camera,magneticfield,orientation,proximity,,,,
mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,light,,,,
mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,magneticfield,orientation,,,,
location,wifi,mobiledata,autorotate,accelerometer,proximity,,,,,
location,batterysaver,camera,accelerometer,light,magneticfield,,,,,
mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity,
mobiledata,bluetooth,batterysaver,donotdisturb,magneticfield,proximity,,,,,
location,wifi,mobiledata,bluetooth,autorotate,accelerometer,gyroscope,orientation,proximity,,
