wifi,batterysaver,camera,light,proximity,,,,,,
location,wifi,mobiledata,bluetooth,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,
location,wifi,mobiledata,batterysaver,accelerometer,magneticfield,,,,,
location,wifi,mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,proximity
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,magneticfield,proximity,,
mobiledata,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity,,
bluetooth,accelerometer,gyroscope,orientation,proximity,,,,,,
location,wifi,mobiledata,bluetooth,batterysaver,camera,accelerometer,orientation,proximity,,
wifi,mobiledata,bluetooth,batterysaver,accelerometer,gyroscope,light,orientation,,,
location,wifi,mobiledata,bluetooth,accelerometer,proximity,,,,,
wifi,mobiledata,bluetooth,camera,gyroscope,light,orientation,proximity,,,
location,batterysaver,gyroscope,light,proximity,,,,,,
wifi,bluetooth,donotdisturb,camera,orientation,,,,,,
mobiledata,camera,accelerometer,gyroscope,magneticfield,,,,,,
location,bluetooth,batterysaver,donotdisturb,gyroscope,light,,,,,
mobiledata,autorotate,batterysaver,camera,accelerometer,light,magneticfield,orientation,,,
location,wifi,bluetooth,camera,gyroscope,light,magneticfield,proximity,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,proximity,
wifi,mobiledata,autorotate,camera,light,magneticfield,orientation,,,,
bluetooth,autorotate,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation,,,
mobiledata,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,proximity,
bluetooth,donotdisturb,camera,gyroscope,magneticfield,orientation,,,,,
wifi,autorotate,camera,gyroscope,light,orientation,,,,,
location,bluetooth,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity,
location,wifi,batterysaver,camera,magneticfield,proximity,,,,,
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,gyroscope,orientation,,,
mobiledata,batterysaver,camera,light,magneticfield,orientation,,,,,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,light,proximity,,
location,wifi,batterysaver,camera,gyroscope,light,orientation,,,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,proximity,
