location,autorotate,donotdisturb,camera,magneticfield,proximity,,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,orientation,,,
mobiledata,donotdisturb,camera,light,,,,,,,
wifi,autorotate,batterysaver,camera,gyroscope,light,orientation,,,,
mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,mobiledata,bluetooth,autorotate,gyroscope,magneticfield,orientation,,,,
mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,light,,,,
bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,
location,wifi,mobiledata,donotdisturb,camera,accelerometer,orientation,,,,
batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity,,,
location,wifi,donotdisturb,camera,gyroscope,light,magneticfield,,,,
location,wifi,bluetooth,batterysaver,camera,accelerometer,light,,,,
location,autorotate,donotdisturb,,,,,,,,
location,wifi,mobiledata,bluetooth,donotdisturb,gyroscope,light,proximity,,,
location,wifi,bluetooth,autorotate,donotdisturb,proximity,,,,,
location,wifi,mobiledata,camera,gyroscope,magneticfield,orientation,,,,
location,mobiledata,bluetooth,donotdisturb,gyroscope,light,proximity,,,,
wifi,bluetooth,autorotate,batterysaver,camera,accelerometer,light,orientation,proximity,,
location,wifi,batterysaver,donotdisturb,camera,light,proximity,,,,
mobiledata,batterysaver,camera,gyroscope,light,orientation,,,,,
wifi,bluetooth,autorotate,batterysaver,donotdisturb,camera,light,proximity,,,
wifi,mobiledata,bluetooth,batterysaver,accelerometer,magneticfield,orientation,,,,
location,wifi,donotdisturb,gyroscope,light,orientation,proximity,,,,
wifi,batterysaver,camera,,,,,,,,
location,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,magneticfield,orientation,proximity,
wifi,autorotate,batterysaver,camera,gyroscope,magneticfield,orientation,proximity,,,
bluetooth,batterysaver,donotdisturb,gyroscope,magneticfield,proximity,,,,,
wifi,mobiledata,bluetooth,batterysaver,accelerometer,gyroscope,magneticfield,,,,
location,mobiledata,gyroscope,magneticfield,proximity,,,,,,
bluetooth,autorotate,donotdisturb,gyroscope,,,,,,,
